Puzzle,Solution,
......21....69..........7.865.8.4.....9....764.........8..2.6..9.41...8...7....42,546783219718692354293541768652874931839215476471369825185427693924136587367958142,
..3..4.1...26..43....1....6...87.32.8...........2..........69.776..9......4.17.6.,683754219172689435459132786946875321821963574537241698318426957765398142294517863,
98..1.....2...47...4..9..2...8....4.....816.7..7.42..8........21...6.4........36.,986217534521834796743596821618975243294381657357642918869453172132769485475128369,
....53.4...1.......4...61..49.7.23....3..9...2..4....65.....4.29....47.........35,629153847381247569745896123496782351853619274217435986568371492932564718174928635,
.3........48..........4.6...2....1....1.3..4.48..57.3..13.6.4...5...3.8...2.75.1.,139786524648529371275341698327894165591632847486157239713968452954213786862475913,
...96.......74.2.6.....2.7.7.56....34.......9.8....7..8..2734...9.....2...48.9...,572961384938745216641382975725698143463127859189534762856273491397416528214859637,
5.....8....47.......7..219.4.........5.9..381.91.8....2....15...7......48.54....9,523619847914738625687542193468153972752964381391287456249371568176895234835426719,
..6.1.7....9...5...857391......8...167......3..459...8.........8..6..........4.6.,346215789719468532285739146592386471678142953134597628467923815853671294921854367,
...53.21..7...46.8...8.6.5..58......6.2............3.2...4..52.78...2..1.1....4..,846537219579124638321896754458273196632941875197685342963418527784352961215769483,
......25..152..3.........64.....6.25.4.1......7.9....6..4.127.9....9.6..3.94....2,786349251415268397293751864931876425648125973572934186854612739127593648369487512,
..8.....21.29....3.......4....2.4.1.......38..4..98.....7..59.8....19.......3...7,478153692162947853395682741836274519729561384541398276617425938283719465954836127,
..538...1....5.....486.2......7.6...4..12..5..2...36.8.......42.6.4.5....1.....3.,695387421132954867748612395583796214476128953921543678359861742267435189814279536,
8..........1....25.9...7.487.31.9.82..9...71.......9.....4.2...4.5.83..12..7.....,854621397371894625692537148743169582529348716186275934917452863465983271238716459,
...2..7...4......6...8173..6...3...8.28.4...........54..6.8...73...2..6..1.7.....,183264795247593186569817342654132978728945613931678254496381527375429861812756439,
...9.417.9..................4.7......8..5.2..7....96.4.....2.1.6.48.1.9.2.86..7..,823964175975213468461587329346728951189456237752139684597342816634871592218695743,
..6.9...33..4...2..89.7..64..8...2..9..3.7..8..5.......4........9.83......3256...,416592783357468921289173564138645297964327158725981346642719835591834672873256419,
....697..6..54.8...91......58..............3.7........1..457....6.81.4.5...3...1.,845169723672543891391278654586731942219684537734925186128457369963812475457396218,
.7...6..4..4.....81..3...2.........64...2...16.7..85.........8.8....3....421..3.7,275896134394271658186345729918534276453627891627918543731462985869753412542189367,
.7.13..........3.429..........4.68....4..3.62.....1.9........8.83..72..971.......,475138926681295374293647518927456831154983762368721495542319687836572149719864253,
8..1.......64.....145.682......4.5...5.......9.2.......912.78.52.8.5.97.....8.4.2,879123654326495718145768293713849526654372189982516347491237865238654971567981432,
...15..9.....9..729....8.......45...41.8.6......7.....14....7.5.7..8..61.5.6...2.,624157893581493672937268154798345216415826937362719548146932785279584361853671429,
.....85...9....3..7...6...8..1....46.7....8..63....7.9.4.38...1..6.45...5...71...,163928574895714362724563198951837246472196835638452719247389651316245987589671423,
97........8..1..2...46...7........511....528..6.2..7.9.9.......7469..8..8.2......,971528634683714925254693178427869351139475286568231749395187462746952813812346597,
..9......7.2............4.2..46.2..8.8.5..3..2.6..794...57...93....3.6.......6.5.,849261735762453189531879462394612578187594326256387941615748293428935617973126854,
7..52........64.98.....8...9.8...4.2..2....57....46..3.6.....2.....87..9.......74,789521346153764298426938715938175462642893157571246983367459821214687539895312674,
2.4.5.7....7..6....5.79........4586...3....4....3.25...8......6.....4.7.......2..,264853719917426385358791624721945863593678142846312597189237456632584971475169238,
.49.8.6..5.73...........3....5...9..8...1....6..9.3.7........6.9.4..51.....6..8.5,349182657587346291126597384475268913893714526612953478258431769964875132731629845,
.4..8.93.....3..6....6.5..769..5.3.....7...25......6.....3.2..9.5..9....7.......3,546187932827934561913625487691258374438769125275413698164372859352891746789546213,
.68.7.3.......4..5..1....96.3....87......81.9..7.4..6...9.1........56....56..3...,468579312293164785571382496132695874645738129987241563329417658814956237756823941,
34..9..6.6.7.13.2.........45......72......1.5..1...93..9...4.....6.712..7.......6,345298761687413529912756384534189672879362145261547938193624857456871293728935416,
3.25..8......215.......7.4.4.....952..9...4.1....1..3...53.2.......5.3...1..7....,372549816964821573158637249481763952739285461526914738645392187897156324213478695,
3.29..4.14...532...71....9.6.....14......93.5..943.7...............2.9......65..4,352987461496153278871246593638572149247619385519438726784391652165824937923765814,
.6...7.........5...8.96.......5...1.7..6....2..63...7.3.....8.....21.....25...93.,563147298149832567287965143832574619754691382916328475371459826698213754425786931,
..31..5...8...2..1..6.38..9.79....6.8..2.6.9....5.7..3..1..3...3.........2.8.....,293164578784952631516738429479381265835246197162597843951423786348675912627819354,
.....7..3.97.521...241................9.1.....5...3..2.7.3...81.45...3..93..2.745,816497253397852164524136879283569417769214538451783692672345981145978326938621745,
.....1.4.29..3...58...46.29531........28.........2..516......9..48......35....4..,765291843294738615813546729531964287972815364486327951627453198148679532359182476,
.9......6..2.638......4...1......1.9.14..26......34..86..35..1.45...6..2.3....5..,395281476142763895876549231283675149714892653569134728628357914457916382931428567,
3...12.6.....53.9.....6.7...8...12..6........5723...89..3.......5......789.......,347912865168753492925864713489571236631289574572346189713495628256138947894627351,
4....29.897..41.......7.....3...6..9....9...6...3..12.........2....1.3.469.....8.,413562978975841263286973415537126849142798536869354127351487692728619354694235781,
.5....416.......9..4.8....2..5...9.....62.......14....5.8..4....2498.....67.....8,859237416672451893341896572215378964493625781786149235538764129124983657967512348,
....6..2......5..12.3..49.518.4.......6.583...3.62.4.9.........4.9...2.....3..5.4,514967823897235641263814975182493756946758312735621489328549167459176238671382594,
.....2..7...38....4.8......27..3.5.854.9...1...1....2.8....91..7..1...5..5....9.2,615492387927385461438716295279631548546928713381574629863259174792143856154867932,
.2.....716......2.........9.9.2.1....7.63...2...89..3.7..9.2...1.3.56..82..31..67,925468371634179825817523649398241756471635982562897134756982413143756298289314567,
8.....712.7.4.....5...2.3.....7..5......52......3....7..31..84....9.8.3..9......1,846593712372461958519827364931784526784652193625319487253176849167948235498235671,
.......16..75.....5..438...34...7....9....14......1.754......89..9...7.....8.....,834792516927516834516438927341257698795683142268941375473165289689324751152879463,
