Puzzle,Solution,
8.....7....5.21.48.6..9.5..68..5....5.9.....2.4...8..1....4.....9....2..7.4...1..,813465729975321648462897513681952437539174862247638951126749385398516274754283196,
3..6...72..8..2......5.4...8....57.35....9.8...2.7.4.62.....94......83....7......,345691872698732514721584639864125793573469281912873456286317945159248367437956128,
97...5.8.3.248...7.......13.8.1.....4..7.....1...4...9........27..5.14..8..29....,976315284312486957548927613287159346469738125135642879691874532723561498854293761,
..8..4.5.19......4.7.91.....8..........5.7.6..1..6.........25...6..8...24....9.7.,628374951193256784574918623786491235349527168215863497837642519961785342452139876,
.9.....8.4....53.7.35....2..76.4.....5..6..............4...7..5.8.2...3....9.327.,697432581428195367135876429376548912952361748814729653243617895789254136561983274,
..32..9.4..19...5..57...3...15.34.7.3.2...4...4...........2.....64...7....9.75...,683257914421963857957148326815634279392781465746592138178426593564319782239875641,
52...8.4.8.1.5.37..7.3........6..4.8.5....1...........1..48...6.....5..2..2.7..3.,523798641861254379479361285297613458354829167618547923135482796746935812982176534,
1..9.7.....8..4.7..36.......74.61.5.85....9..............3..........5.873.9.864..,145927638298634571736518249974261853851473962623859714587342196462195387319786425,
.38.9.....9..381.....52.............9.3.1....142.5.9.....9...247......1....78539.,538197462294638157617524839856379241973412685142856973385961724769243518421785396,
1......23..3.....6.2...81.4....1..........3....83.5.4...246.8...4.1..25.....9....,189654723473921586625738194354216978267849315918375642592467831746183259831592467,
74...3.....2......63.4.1....1..8.57.2...3..41....4.6..3...1......6........78..2..,741523968592678314638491725914286573265937841873145692389712456426359187157864239,
3.....598..9.........8.....8...5...4.2...8...7..124.....2.....5...7..9...15..984.,341672598289541376567893421896357214124968753753124689972486135438715962615239847,
..8..2731.............7.8..3..4875.......3.6..4..1......5321.....3.......7.6....5,498562731751839246236174859369487512812953467547216983985321674623745198174698325,
2...9....89.6....15.14........58..3.9...6...5..5.198.6.2384....1..9....3.4.......,237195684894672351561438297416587932982364715375219846723841569158926473649753128,
5...3.48..2.8.7..3.....5.........142....9..7.......3.539..72..11.......825.......,571236489629847513843915267935768142412593876786124395398472651164359728257681934,
..2........9.35......8.......1.2..5.9...1.8..3...6..79..6..1.25........7..7.5..61,652149738879635214134872596741928653965317842328564179496781325513296487287453961,
.8..5.........3.7.53.6.9..2..64..8...9...5.34.4.7.82....2..............3.78......,784152369629843571531679482256431897897265134143798256362517948415986723978324615,
...........95....8...7...6...63.....2.....54...58.47....4..86.9..2.3...4.7..6.8.2,658193427729546318341782965496357281287619543135824796514278639862935174973461852,
..549......8...52....1....9..9..1...5....6.1.......842...7..6.....5...8..1.2...9.,735492168198637524426158379289341756574826913361975842952784631643519287817263495,
..34...1.9..71.2.58..2..9....4...78.......14.........9.3.14...2.85..9..1.........,273495618946718235851263974324951786598672143167834529639147852785329461412586397,
9.6.......2..7569....2..8..1...67..55..........7.4...1.6.........5..4..7...152...,986413572421875693753296814132967485548321769697548231264739158315684927879152346,
1..42.83....963.....5.......2.....83684.5.1...1...94..8....1..6...8.6.....9......,176425839248963751395178624927614583684357192513289467852731946431896275769542318,
6....8.......346..9...1..348....3.1...2.9...8....42.563.......9....2.....91.....2,634958721218734695957216834849563217562197348173842956326471589485629173791385462,
7.......6.....2.73.5..3.....6..47.5.3.5..61..4...8.7.21...6......8..1....3..5....,713895426984612573256734981862147359375926148491583762147269835528371694639458217,
