Puzzle,Solution,
78.9...2...218.....9.6.......8..7....3.5.62....72..19.359......2..8...6........5.,783945621642183975195672348928417536431596287567238194359764812214859763876321459,
...6..8.7..97..2......98.4.2....7..3.4.562....5734....4.3......5.......8......6..,134625897689734215725198346296817453341562789857349162473986521562471938918253674,
.8...7.5.5.9.1.8..4..9.52.12...74.....1......9.5.3..28......1....37...........5.3,186327954529416837437985261268574319371298645945631728752843196613759482894162573,
..2....3..5..1.68..1...65...9..5...8..6.........83.7.9.6.......9732..8.52.5......,642985137359417682718326594197652348836749251524831769461578923973264815285193476,
.2.7..9..81.4526....4...........15....1.........6....7.78..4.6....5.8...5..92..4.,325716984819452673764893152697341528481275396253689417978134265142568739536927841,
.8......6...5.3........9...5.6.....8.1.4....2..3.9....9...6..4.....12.658..9.4...,389147526674523189152689734596231478718456392243798651921365847437812965865974213,
...3...9.....7..1538.....7.2.3.9...4.47..32..51.7............2....94...3..25.....,754316892629478315381259476263195784947683251518724639496831527875942163132567948,
..9......5..3926....64...7.6....5.47..267....9..............45.74....29....5.1...,819756324574392618326418579631285947482679135957134862168927453745863291293541786,
....8..136..24..5.3..9.562..36....822.4..8.315.81........4...6..............5.3..,425786913619243857387915624136594782294678531578132496953427168841369275762851349,
..5.8..9.....2.61..165..7.2........445.........9....7........58....47...82..5.1..,275186493948723615316594782132978564457261839689435271764312958591847326823659147,
....5...2...4.81..6..193...91....3...3.......4.......8..2.39...3...8......9..645.,183657942795428136624193587916842375238975614457361298542739861361584729879216453,
..5.3..74...6...1...........3....5..97....4..6.2.179...4.........3.75....91...7.3,265139874487652319319748652134896527978523461652417938746381295823975146591264783,
....4.7..5....16...9.7.2.......9..5..79....1..4...7....8...547.......2...14.8....,138649725527831649496752138261498357379526814845317962982165473653974281714283596,
....9..1..1....76..9.5.4...9...8...2...........1....5.5.624.9.......8..4......67.,328796415415832769697514283973685142254371896861429357586247931739168524142953678,
......6.8........5..2.8..7.6.9..3...5..41.3..1....679............8..59.6....9.847,495137628871962435362584179649723581587419362123856794914678253738245916256391847,
5.....93..2.3....69......4..395.....6.7......4.5....7.8..4.......2.85..4.6.2.3..5,546127938128394756973856142239578461617942583485631279851469327392785614764213895,
.8..........23....5..49......8...4.6.9..5.8.3.4....1..8.932......4..16....68...1.,987165234461237985523498761378912456192654873645783129819326547234571698756849312,
.........9...51.34....23.....1...69......612........53.1...2....476....16.5.3..7.,734968215962751834158423769521347698493586127876219453319872546247695381685134972,
