Puzzle,Solution,
9746...152..9..8....1.5.......1.....6....5..45194...2...5..92..4..8.....8...2....,974682315256931847381754962742193586638275194519468723165349278423817659897526431,
2.74..........1..9...........4.29.16.21.63..5.6.5......4.3..7.......5.91....9.3..,297458163385671429416932578534729816721863945968514237149386752873245691652197384,
1.27...............9..85.4.8....43....9..81...4.3..7.5.8...9...2.7.........5.....,152746938468913572793285641825174396379658124641392785586439217237861459914527863,
1.....8.2.2.....59....3.61.376.25...9..18......5.7...........61.5...67.3.3....2..,164597832723861459598234617376425198942183576815679324487352961251946783639718245,
4...2.7.539.....42..1.7..6..2...............3.....1....6.4..15..3...5.97..2..7..4,486329715397156842251874369628593471145768923973241586769432158834615297512987634,
7....1...9..5........7..38.......42.8.7.5...94...3...75..2891.....3.........14.9.,743821956986543271125796384359167428817452639462938517574289163691375842238614795,
.....8.6...615.47....6..1.87..8.653........46...79.......97...1.19..5......3..9..,197438265286159473345627198721846539938512746564793812853974621419265387672381954,
..16.......7.32...4...5..2..4.3.........7.5..2..5.6...5..24....3...6.49..9.....1.,821697354957432186463851729745328961186974532239516847518249673372165498694783215,
2....34.1....9...5....2..6..56......1.....7.9.934...2..3.5...........372..7...1..,279653481614798235385124967456972813128365749793481526832517694561849372947236158,
.7......3632..5..1.9.8.....85..7......13....8...2...6...5......9...16...71.92....,578162493632495781194837652859671324261349578347258169425783916983516247716924835,
1...4..92.9..2.6....7...35.................6.....3..199213....63..71.....6...5..4,136547892895123647247869351619452783483971265572638419921384576354716928768295134,
.76..4..2.1.39......4..1.73..89.....9..8....6...1......81.....7.27....94......2..,376584912215397648894261573168942735943875126752136489681429357527613894439758261,
......4..1..24..69....7..1.......34.....6..2.4..1......5...2....4..9527.2.1..693.,798631452135248769624579813912857346583964127467123598359712684846395271271486935,
..7..54................27..1...94.27..5.38.1...4.1.9....2..9.71.....3...3.....25.,217985463549376182836142795183694527795238614624517938462859371951723846378461259,
5...6...9......14....318..6..2.4..5..3.8....4....9..61..1..26.8....8.......5...2.,517264389368957142429318576792146853136825794845793261951472638273689415684531927,
.......2759.....6.68.2...4...8.7.....64.9..1.1...2..5.7.........1....6..42.98.1.5,341869527592437861687251349958174236264395718173628954739516482815742693426983175,
.....2..38......2.2..63...5..786....6...54.9.3...9..4.............4.796..4....85.,765942183834175629219638475497863512621754398358291746176589234583427961942316857,
...96.4.....3...8.435......3...8....8.1...3....6......69.....53..2.5.96..5.1....2,218967435967345281435812679379681524821574396546239718694728153182453967753196842,
....915......2..6....5.8..9..9.1.6....18.5..3....3.2.5...7.6....162..9.8..2.8....,823691574597324861164578329359412687271865493648937215985746132716253948432189756,
1.7..3....3.2..6.8..9....4....9.....7...4..6.3...2....8..6941...7..1.3..6..8..2..,167483529435279618289156743542961837718345962396728451823694175974512386651837294,
.5..8....68.....24.9..243.8.4..5.9133...........4.....5..2..1....1.....6.6...8.52,254683791683197524197524368846752913315869247972431685538246179421975836769318452,
.7.9...8.53...4.9...9..3..5.4.8.79..3..2...5.7263...........84....4...3..5......6,672915384531684792489723165145867923398241657726359418213576849867492531954138276,
..3........7....4.......72.4...3..6..15.7.....72..5..3....5..962.4..1....5..934..,843927651927516348561348729489132567315679284672485913738254196294761835156893472,
..6..5...37.4.286.8..........38.42.....62..51...5.7..8.........28......44......7.,926785413371492865854361729563814297748629351192537648617943582285176934439258176,
..248....4......7......3......3.5.9......27.42.3..98........1...49..7.....1.9.25.,792481563438256971156973428874315692915862734263749815627538149549127386381694257,
...3.9.......8....8..217......7.321.71.8...95..2.5..34.4...2.....853....35..9..2.,571349862239685471864217359495763218713824695682951734946172583128536947357498126,
.5.7..8...2654..1....6.8..9579..1.6....8...2...1...7................6..5715......,953712846826549317147638259579321468364897521281465793698253174432176985715984632,
....9.....2..5.6.......8..1.82..6.....6..1..291...3...3........4....51...9..4...3,147692835823154697659738241582976314736481952914523786365219478478365129291847563,
.1.3....24..8..31...2.9..5...1258....6.........9......5.4.2.....83..14.........6.,916345872475862319832197654341258796268739541759416238594623187683971425127584963,
.5.31.........5......4.8...39.7..1..275...39.18....54.....3.4..5....791....9..8..,657319284418625739923478651394756128275184396186293547869531472542867913731942865,
.2......3.....8.1...4.27..5.39....5..8.......71....89.24.....3.......2.9.751.....,827615943653498712194327685439286157586971324712543896248769531361854279975132468,
...1...3......2..7..189562......3718....6.2..9.........3.75.8.........5.....863.9,826174935594632187371895624652943718147568293983217546439751862768329451215486379,
9...63.1.4..25..3..259..8...561..9........68..1......3.48....96......2.....5...4.,987463512461258739325971864856134927234795681719682453548327196193846275672519348,
.....6.2...4....7....1.9..5......41.........9.7.3..6..9.3.1..42.1.2..5..62....7..,381576924594832176762149385236985417845761239179324658953617842417298563628453791,
..17..8.....1.3.6..8...64.5.37......8...4....9.6...157....3......5..........7..94,691754823254183769783296415537961248812547936946328157469832571375419682128675394,
...2....181...72...42..3657...37.5.......53.6.2.....4....63.........1......8..4.5,657249831813567294942183657461378529798425316325916748579634182284751963136892475,
46...95.3..9.....6.8....14.513..74.......4.7..7.81.9..9...8.....5..7.....4.......,467129583139548726285736149513297468892654371674813952921485637356972814748361295,
.3.45.......9.68.5..............9...6...7.5.9.75....42....2.7.3.....862....345...,836457291124936875597182436248519367613274589975863142489621753351798624762345918,
.....7....84.3.6..7.2.9.4.8.....9...........4..6.7...9..831..76.3...6..12...4.3..,613487952984532617752691438145869723879253164326174589498315276537926841261748395,
......3......83.2.....7...5.73.29.8..1.......2.93617......16.98.....2.....753.61.,826195347745683921931274865573429186614857239289361754352716498168942573497538612,
.74...3293......7.....5.....1627..4...........9.1..2.6.3.9..65........97..1.....3,574816329368429571129357864816273945243695718795148236437981652682534197951762483,
..4..9...83...6...6.71.....2.9...7...6....4..14.3..9.237....1.8.8..1..9...1....46,514289673832746519697135824259864731763921485148357962376492158485613297921578346,
.8..6....61325...9..5...1....2..........1.5...9..32...26...8......1.64..9..3..85.,489761235613254789725983164132675948876419523594832617267548391358196472941327856,
9...67.81.........53......63....6...6.....8....7..1....51.4..9.7......1...9.5.3.8,942367581176485239538219746394826157615974823287531964851743692723698415469152378,
